psraid,cregion,fips,state,kidage,kidgen,age,educ,income,playgame,k17game,k28game
1550,2,19013,19,12,2,47,2,2,1,"CLUB PENGUIN, K ADDICTING GAMES, CANDY STAND",DICKINS SURVIVAL (ITS AN OLD VICTORIAN GAME ON THE INTERNET WE PLAYED FOR ENGLISH CLASS)
4502,2,19023,19,15,1,49,5,5,1,"GRAND TURISMO, CALL OF DUTY, NCAA FOOTBALL",
9774,2,19113,19,14,2,43,3,7,1,"TETRIS, SOLITAIRE, PINBALL",
14113,2,27009,27,15,2,40,3,6,1,"SOLITAIRE, HANNAH MONTANA, DANCE GAME",
6928,2,27009,27,14,2,44,3,9,1,"DANCE DANCE REVOLUTION, GUITAR HERO, SOLITAIRE",
15425,2,27097,27,13,1,49,3,5,1,BURNOUT REVENGE,STOCKS GAME
5165,2,27073,27,16,2,56,3,7,1,"TENNIS, BOWLING, BASEBALL",
2009,2,27145,27,14,2,45,3,7,1,"HALO, MADDEN, SODUKU","I HAVE NO IDEA, IT WAS FOR A PROJECT"
2714,2,27141,27,17,2,47,5,8,1,"SUPER MARIO WORLD, SUPERMARIO KART, DONKEY KONG","NUMBER MUNCHERS, GEOMETRIC GOLF"
5852,2,27085,27,12,1,28,5,8,1,"MADDEN, SUPER MARIO ADVANCE",
7399,2,27067,27,17,2,47,5,7,1,"GUITAR HERO, DANCE DANCE DANCE REVOULUTION",
16646,3,12009,12,15,1,38,3,3,1,"RATCHET AND CLANK, NBA LIVE, TEKKEN",DON'T REMEMBER
16401,4,6037,6,14,1,45,5,7,1,"HALO3, EXCAPE, MADDEN O8",
6828,4,6037,6,13,1,36,5,1,1,"SMACKDOWN VS RAW 08, HALO 3, TRUE CRIME",
15922,4,6037,6,17,2,45,6,6,0,,
15624,4,6037,6,14,1,45,3,4,1,"GUITAR HERO 3, MADDEN 2008, MEDAL OF HONOR 4",A TYPING GAME
15742,4,6037,6,12,2,47,6,8,1,"CHESS, I DON'T PLAY MUCH OF ANY...I DON'T PLAY THAT MUCH ON THE INTERNET",
5728,3,48451,48,15,2,43,7,6,1,"ADVENTURE GAMES, ONLINE JIGSAW GAMES, RACING GAMES",
16125,2,39169,39,17,1,47,2,8,1,"NHL 2008, PROJECT AWSOME RACING 2, FIFA 2008",
2080,2,39133,39,17,1,57,7,8,1,"HALO, GUITAR HERO, MADDEN",
13733,2,39133,39,17,1,50,6,7,1,"HALO 3, FIFA 08, MADDEN 08",
1575,2,39133,39,15,1,37,3,3,1,"HALO 3, GEARS OF WAR, ACE COMBAT 6",
7233,2,39153,39,16,2,55,7,4,1,,
6665,2,39153,39,12,2,34,5,5,1,"THE SIMS, ANIME GAMES OF ANY KIND, MORTAL KOMBAT",
6824,2,39099,39,13,2,52,3,1,1,"GUITAR HERO, RACING GAME ON THE WII",JENGA
16210,2,39153,39,17,2,45,5,6,1,"NEED FOR SPEED, GRAND THEFT AUTO, YAHOO GAMES",
8378,2,39153,39,15,2,47,7,6,1,"ANIMAL CROSSING, GUITAR HERO",
15872,3,1045,1,15,1,40,5,6,1,"MASS EFFECT, HALO 3, SUPREME COMANDER",
5157,3,1069,1,16,1,47,6,7,1,DK,
1744,3,1081,1,14,1,49,2,4,1,"SOUL CALIBUR 2, LEGEND OF ZELDA, SUPER MARIO SUNSHINE",DON'T REMEMBER
16163,3,37081,37,13,2,34,4,5,1,ACTION GAMES,LEARNING GAMES
6500,3,37157,37,16,1,49,6,6,1,"ESPN, MADDEN 08, NBA 2K8",
15388,3,37057,37,17,1,40,3,9,1,"HALO, MADDEN, FIGHTNIGHT 3",MATH BUSTERS
11971,3,37151,37,14,1,43,6,4,1,"HALO 3, ASSASSINS CREED, MIDEIVIL 2 TURTLE WAR",
12862,3,22099,22,13,1,52,3,9,1,"HALO 2, SMACKDOWN VS RAW 2008, MORTAL KOMBAT ARMAGEDDON",
15650,3,22113,22,15,1,43,3,4,1,"BLITZ LEAGUE, DEVIL OF 7",MICRO TYPE
5996,3,22055,22,13,1,42,3,5,1,"GEARS OF WAR, HALO 3, MVP NCAA BASEBALL 2006",LETS GET DIGGING (ABOUT MINERALS)
12657,3,22097,22,16,2,47,3,3,1,"GUITAR HERO, HALO 3, CALL OF DUTY",
2123,3,22113,22,12,2,37,3,8,1,,
15626,3,22101,22,13,2,29,6,8,1,"STUFF ON POGO, CHECKERS ONLINE",
15737,4,53011,53,13,2,43,7,8,1,"CARD, SOCCER, DICE",
15673,4,53009,53,14,2,39,5,3,1,"ZELDA: TWILIGHT PRINCESS, WII BLACKJACK WITH CARDS,  DUNGEONS AND DRAGONS",
15893,4,53057,53,15,2,54,6,3,1,"TOMY HAWK, MADDEN FOOTBALL",
15675,4,53035,53,16,2,45,6,9,1,UNSURE,
8438,4,53061,53,13,2,38,5,7,1,"ZELDA, NANCY DREW, HARRY POTTER",
15636,4,53057,53,17,2,51,6,4,1,"BEJEWLED, CUBED, SUPER MARIO KART",
15637,4,53035,53,17,2,30,5,6,1,"MADDEN, BUBBLE BREAKER",
1477,4,53035,53,12,2,50,6,5,1,"INSANE AQUARIUM, THE SIMS, CHESS",
16701,4,53067,53,17,1,47,5,6,1,"FINAL FANTASTY 07, DANCE DANCE REVOLUTION, DEVIL MAY CRY",
13638,3,48409,48,14,1,38,6,7,1,"HALO 2, BURNOUT REVENGE, STREET FOOTBALL",
13092,3,48469,48,14,1,41,7,6,1,"RESIDENT EVIL 4: MONSTER HUNTER, GUITAR HERO 3, RUNESCAPE",
5479,3,48321,48,14,2,41,5,7,1,"GUITAR HERO, ATV OFF ROAD",
11006,3,12047,12,13,2,42,3,4,1,NCAA MADNESS NCAA 07,SOLITAIRE
17800,1,44007,44,17,1,45,6,8,1,"MADDEN, MLB, GUITAR HERO",
